"fecha","rho7dpromedio","incidenciaAcum14d","riesgopor10"
2020-07-15,0.922440755278284,65.4638094777407,60.3864858580408
2020-07-16,0.915297898135427,64.8188458375659,59.3285533546883
2020-07-17,0.90487411139585,67.0762185781777,60.6955336817223
2020-07-18,0.93023643023643,63.5289185572163,59.0969144154458
2020-07-19,0.95561581275867,62.2389912768668,59.4765642343228
2020-07-20,1.02542835315945,60.9490639965172,62.4988983205583
2020-07-21,1.0590417985376,61.9165094567794,65.5721715342778
2020-07-22,1.09144748808614,63.5289185572163,69.338478580103
2020-07-23,1.08170722834588,62.5614730969542,67.6731976649419
2020-07-24,1.10096123015803,62.5614730969542,68.8777563813208
2020-07-25,1.08608027777707,60.3041003563424,65.4950940661128
2020-07-26,1.05886939342333,59.981618536255,63.512700036034
2020-07-27,0.961084825050528,62.2389912768668,59.8169500426488
2020-07-28,0.878690891867498,62.5614730969542,54.9721965921071
2020-07-29,0.788384769418519,61.594027636692,48.5597932759113
2020-07-30,0.754168985202734,59.3366548960802,44.7498648083017
2020-07-31,0.747809231999128,57.4017639755559,42.9255690339556
2020-08-01,0.792452089141985,56.7568003353811,44.9770449987872
2020-08-02,0.885044681734577,56.4343185152937,49.9468934692759
2020-08-03,1.02686286355276,55.1443912349441,56.6257274923884
2020-08-04,1.17088144659573,55.4668730550315,64.9451325608172
2020-08-05,1.28436070926854,53.8544639545946,69.1685575220003
2020-08-06,1.32831675322459,54.1769457746819,71.9641447110501
2020-08-07,1.32678614097969,53.8544639545946,71.4533564048463
2020-08-08,1.28567318416906,54.8219094148567,70.4830588396265
2020-08-09,1.20736630586218,54.1769457746819,65.4114188828734
2020-08-10,1.08178189027776,52.2420548541576,56.5145088521253
2020-08-11,0.978607287103161,53.2095003144198,52.0712047508091
2020-08-12,0.89012802443035,53.2095003144198,47.3632673958006
2020-08-13,0.925842310144636,54.4994275947693,50.4578759459016
2020-08-14,0.991318500620826,54.8219094148567,54.3459730423065
2020-08-15,1.14198744198744,55.4668730550315,63.3424724751576
2020-08-16,1.32798183974655,55.4668730550315,73.6590001246089
2020-08-17,1.63132135737178,60.6265821764298,98.9014383288651
2020-08-18,1.75989278594321,63.5289185572163,111.804085467619
2020-08-19,1.86499482675953,66.4312549380029,123.893946794519
2020-08-20,1.87009686757586,72.2359276995759,135.088182117413
2020-08-21,1.86007180491922,76.428191360712,142.161923851031
2020-08-22,1.77052442621521,78.6855641013238,139.314713231917
2020-08-23,1.63019841629317,85.7801641432464,139.838687735689
2020-08-24,1.41104796541515,93.8422096454312,132.415858990247
2020-08-25,1.33327018763737,98.3569551266547,131.136396017155
2020-08-26,1.29245386110676,108.031409729277,139.625612625409
2020-08-27,1.29381440532444,113.83608249085,147.282763372363
2020-08-28,1.32078085992248,126.090391654171,166.537775916957
2020-08-29,1.34098712050488,134.79740079653,180.761578345681
2020-08-30,1.36833460568369,143.50440993889,196.362050187601
2020-08-31,1.35806328785423,155.436237282123,211.09224745505
2020-09-01,1.3404162290307,165.433173704832,221.749310854012
2020-09-02,1.31321660746022,176.720037407891,232.071687995033
2020-09-03,1.27599431970118,185.427046550251,236.603858117087
2020-09-04,1.24524622164539,191.231719311824,238.130575931801
2020-09-05,1.24589463303748,201.55113755462,251.111480561901
2020-09-06,1.25650971240256,209.290701236718,262.975798819479
2020-09-07,1.26246209335494,219.932601299602,277.656572233693
2020-09-08,1.26917539320002,237.991583224496,302.053061217245
2020-09-09,1.26749599904938,249.600928747642,316.368178546646
2020-09-10,1.26875259618434,264.757574291749,335.911859742125
2020-09-11,1.23552814415647,270.562247053322,334.287270980595
2020-09-12,1.19466486633,282.494074396556,337.485745627979
2020-09-13,1.1309947750058,296.683274480401,335.547233268945
2020-09-14,1.0927690737664,304.100356342411,332.311464732329
2020-09-15,1.06441711845914,312.484883664683,332.614259432401
2020-09-16,1.08041557211937,322.159338267305,348.065965767668
2020-09-17,1.09574634210852,325.384156468179,356.538499230075
2020-09-18,1.13892744959223,339.895838372112,387.116700324163
2020-09-19,1.15275233438486,349.892774794821,403.339712929125
2020-09-20,1.17483560805517,365.049420338928,428.873057714072
2020-09-21,1.16651915886549,375.691320401812,438.251123068188
2020-09-22,1.16393295196894,381.495993163385,444.035757486982
2020-09-23,1.13830723203821,388.590593205308,442.335482547619
2020-09-24,1.11582233048683,394.717747786969,440.434877220167
2020-09-25,1.07583762870136,407.294538770377,438.182790773738
2020-09-26,1.03240748075084,412.131766071688,425.487918347467
2020-09-27,0.987656235782424,421.161257034135,415.962541779727
2020-09-28,0.953325106667124,426.965929795708,407.037340565721
2020-09-29,0.935728589311184,433.415566197456,405.559336343453
2020-09-30,0.902115055634606,429.868266176494,387.79063485736
2020-10-01,0.873872139177061,437.285348038504,382.131482521194
2020-10-02,0.81872347803093,434.383011657718,355.639570101957
2020-10-03,0.774125553937829,436.317902578242,337.764838026373
2020-10-04,0.696130909793221,420.51629339396,292.73438990321
2020-10-05,0.624623236956644,412.454247891775,257.628507414679
2020-10-06,0.529908921312096,392.460375046357,207.968253998555
2020-10-07,0.451026230714635,371.821538560764,167.701267035577
2020-10-08,0.350512850489879,346.667956593947,121.511573639246
2020-10-09,0.291541245337763,319.257001886519,93.0765839127961
2020-10-10,0.239201838020218,293.458456279527,70.1958021246388
2020-10-11,0.213357995097946,260.242828810526,55.5248881936319
2020-10-12,0.1833641605391,226.704719521437,41.5695205853003
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
